epi_year,epi_week,epi_week_label,Avg_Temp(C),AvgWindspeed(m/s),AvgPrecipitation(mm/day),AvgRelative_Humidity(%)
2023,9,2023-W9,23.18,2.44,10.19,75.30
2023,10,2023-W10,24.34,2.74,13.04,67.57
2023,11,2023-W11,22.11,1.73,56.16,79.13
2023,12,2023-W12,21.23,2.20,133.19,82.89
2023,13,2023-W13,21.63,2.53,72.96,83.13
2023,14,2023-W14,22.17,2.16,25.28,82.04
2023,15,2023-W15,22.33,2.17,30.71,82.70
2023,16,2023-W16,21.71,2.15,122.11,87.09
2023,17,2023-W17,20.84,2.13,29.40,87.10
2023,18,2023-W18,21.26,1.85,26.80,84.74
2023,19,2023-W19,22.01,2.85,22.42,84.64
2023,20,2023-W20,22.86,2.64,16.10,81.05
2023,21,2023-W21,22.62,3.02,12.87,79.09
2023,22,2023-W22,21.99,3.23,17.40,79.59
2023,23,2023-W23,21.73,2.65,92.22,80.12
2023,24,2023-W24,21.98,2.26,19.96,79.13
2023,25,2023-W25,21.42,2.59,24.98,81.66
2023,26,2023-W26,21.57,2.63,21.44,79.18
2023,27,2023-W27,20.92,3.54,7.61,76.84
2023,28,2023-W28,21.78,3.02,7.74,73.97
2023,29,2023-W29,21.79,3.64,0.36,70.15
2023,30,2023-W30,22.27,3.19,3.26,71.70
2023,31,2023-W31,21.99,3.02,10.18,73.37
2023,32,2023-W32,22.86,2.84,5.50,70.27
2023,33,2023-W33,23.82,2.67,6.81,67.88
2023,34,2023-W34,24.38,2.58,14.24,65.33
2023,35,2023-W35,23.16,3.25,16.99,69.50
2023,36,2023-W36,23.37,2.22,17.46,72.59
2023,37,2023-W37,22.32,1.86,72.32,79.32
2023,38,2023-W38,22.24,1.61,130.45,79.92
2023,39,2023-W39,22.19,1.56,41.27,77.79
2023,40,2023-W40,23.30,2.04,40.23,76.33
2023,41,2023-W41,23.15,1.65,92.97,79.43
2023,42,2023-W42,20.90,2.28,76.16,88.42
2023,43,2023-W43,22.12,2.00,17.97,82.61
2023,44,2023-W44,21.53,1.68,48.03,84.52
2023,45,2023-W45,21.59,1.71,44.70,82.38
2023,46,2023-W46,22.35,1.87,74.41,84.00
2023,47,2023-W47,22.03,1.69,126.35,83.78
2023,48,2023-W48,22.35,1.95,25.78,76.20
